,Unnamed: 0,MAF_NAME,BLKID,FULLNAME,TLIDs
18502,18502,Escape Rte,080130137021002,Escape Rte,[631034133]
18503,18503,Shelf Rd,080130137014068,Shelf Rd,[634193104]
18504,18504,America St,080130137014064,America St,[637926288]
18505,18505,America St,080130137014067,America St,[637926288]
18506,18506,Shelf Rd,080130137014073,Shelf Rd,[188198039]
18507,18507,Wilson St,080130137027026,Wilson St,"[188177402, 188177402]"
18508,18508,Sunshine Canyon Dr,080130137013032,Sunshine Canyon Dr,[647455444]
18509,18509,Camp Eden Rd,080130137024019,Camp Eden Rd,"[637923175, 188160511, 637923176]"
18510,18510,Co Rd 126S,080130137026007,Co Rd 126S,"[640373550, 640373549]"
18511,18511,Dakota Blvd,080130137011042,Dakota Blvd,[628045868]
18512,18512,2nd St,080130137011043,2nd St,[627444886]
18513,18513,Boulder View Ln,080130137012005,Boulder View Ln,"[188159033, 188159033]"
18514,18514,Beach Rd,080130137023004,Beach Rd,"[646259650, 646259650]"
18515,18515,21st St,080130122023014,21st St,"[220750810, 188193358, 188193360]"
18516,18516,Lehigh St,080130125103023,Lehigh St,[188175860]
18517,18517,Table Mesa Dr,080130125111007,Table Mesa Dr,[220748755]
18518,18518,Table Mesa Dr,080130125091000,Table Mesa Dr,[220748685]
18519,18519,S Lashley Ln,080130125073001,S Lashley Ln,[188162887]
18520,18520,S Lashley Ln,080130125073000,S Lashley Ln,[188162887]
18521,18521,Martin Dr,080130125073005,Martin Dr,[188162936]
18522,18522,Martin Dr,080130125073008,Martin Dr,[188162966]
18523,18523,S 42nd St,080130125071025,S 42nd St,[188162967]
18524,18524,S 42nd St,080130125071026,S 42nd St,[188162967]
18525,18525,Table Mesa Dr,080130125073007,Table Mesa Dr,[188163915]
18526,18526,Table Mesa Dr,080130125083005,Table Mesa Dr,[188163915]
18527,18527,Martin Dr,080130125073012,Martin Dr,[188173249]
18528,18528,S 41st St,080130125073008,S 41st St,[188162965]
18529,18529,S 41st St,080130125073007,S 41st St,[188162965]
18530,18530,S 43rd St,080130125083002,S 43rd St,"[188209631, 188209632]"
18531,18531,Butte St,080130122032038,Butte St,[188163044]
18532,18532,Butte St,080130122032040,Butte St,[188163044]
18533,18533,Hancock Dr,080130126031010,Hancock Dr,[220749850]
18534,18534,Hancock Dr,080130126031013,Hancock Dr,[220749850]
18535,18535,Range St,080130122032095,Range St,"[188163113, 188163122]"
18536,18536,Range St,080130122032093,Range St,[188163122]
18537,18537,Butte Mill Rd,080130127071070,Butte Mill Rd,[643522298]
18538,18538,Boulder Canyon Dr,080130137013051,Boulder Canyon Dr,[642890032]
18539,18539,Pearl Pkwy,080130122032077,Pearl Pkwy,[220750968]
18540,18540,Pearl Pkwy,080130122032078,Pearl Pkwy,"[220750968, 220756266]"
18541,18541,Eutaw Dr,080130125112023,Eutaw Dr,[188163403]
18542,18542,Ricara Dr,080130125111011,Ricara Dr,[188163453]
18543,18543,S 46th St,080130125081013,S 46th St,[188164095]
18544,18544,Cherokee Way,080130125011017,Cherokee Way,[188163594]
18545,18545,Cherokee Way,080130125011023,Cherokee Way,[188163594]
18546,18546,Shoshone Ct,080130125011020,Shoshone Ct,"[188163604, 188163604]"
